row_index,ID,Tool,missing_rate,zero_rate,y_true,global_pred,residual_pred,pred_alpha_0_0,pred_alpha_0_1,pred_alpha_0_2,pred_alpha_0_3,pred_alpha_0_5,pred_alpha_0_75,pred_alpha_1_0
0,NH0995,O,0.0003714710252600297,0.044947994056463596,2.814025348484583,2.683258295059204,0.027398381382226944,2.683258295059204,2.685998133197427,2.6887379713356494,2.6914778094738723,2.6969574857503176,2.7038070810958743,2.710656676441431
1,NH0996,O,0.0,0.03714710252600297,2.78295470454625,2.793426036834717,-0.006376974284648895,2.793426036834717,2.792788339406252,2.792150641977787,2.7915129445493223,2.7902375496923923,2.78864330612123,2.787049062550068
2,NH0997,O,0.0018573551263001485,0.04569093610698365,2.7259733598475004,2.7108349800109863,-0.04455917328596115,2.7108349800109863,2.70637906268239,2.701923145353794,2.697467228025198,2.6885553933680058,2.6774156000465155,2.666275806725025
3,NH0998,O,0.0014858841010401188,0.03714710252600297,2.7947683712120837,2.8111743927001953,0.02550549805164337,2.8111743927001953,2.8137249425053596,2.816275492310524,2.8188260421156883,2.823927141726017,2.830303516238928,2.8366798907518387
4,NH0999,N,0.0018573551263001485,0.036404160475482915,2.787539200757083,2.7900283336639404,-0.02264847606420517,2.7900283336639404,2.78776348605752,2.7854986384510996,2.7832337908446787,2.778704095631838,2.7730419766157866,2.7673798575997353
5,NH1000,L,0.0007429420505200594,0.05163447251114413,2.5691751628791666,2.651646852493286,-0.017100291326642036,2.651646852493286,2.6499368233606218,2.648226794227958,2.6465167650952934,2.643096706829965,2.6388216339983046,2.634546561166644
6,NH1001,N,0.029346210995542348,0.03677563150074294,2.9658237234845823,2.9514784812927246,0.04561348259449005,2.9514784812927246,2.9560398295521737,2.960601177811623,2.9651625260710714,2.9742852225899696,2.985688593238592,2.9970919638872147
7,NH1001,O,0.029346210995542348,0.03714710252600297,2.9658237234845823,3.0396623611450195,0.08262443542480469,3.0396623611450195,3.0479248046875,3.0561872482299806,3.064449691772461,3.080974578857422,3.101630687713623,3.122286796569824
8,NH1002,L,0.029717682020802376,0.04271916790490342,2.7739209507579163,2.758507490158081,-0.010839737020432949,2.758507490158081,2.7574235164560377,2.7563395427539943,2.7552555690519513,2.7530876216478646,2.7503776873927563,2.747667753137648
9,NH1002,O,0.029717682020802376,0.041976225854383355,2.7739209507579163,2.7843008041381836,0.018715588375926018,2.7843008041381836,2.786172362975776,2.788043921813369,2.7899154806509614,2.7936585983261466,2.798337495420128,2.8030163925141096
