row_index,ID,Tool,missing_rate,zero_rate,y_true,pred_E0_global_only,pred_E1_tool_o_expert_25,pred_E2_tool_o_expert_50,pred_E3_tool_o_expert_75,pred_E4_tool_o_expert_100,best_pred,best_residual,best_abs_error
0,NH0995,O,0.0003714710252600297,0.044947994056463596,2.814025348484583,2.679853677749634,2.691227912902832,2.7026023864746094,2.7139766216278076,2.725350856781006,2.679853677749634,0.13417167073494918,0.13417167073494918
1,NH0996,O,0.0,0.03714710252600297,2.78295470454625,2.7997324466705322,2.7916994094848633,2.7836661338806152,2.7756330966949463,2.7676000595092773,2.7997324466705322,-0.01677774212428229,0.01677774212428229
2,NH0997,O,0.0018573551263001485,0.04569093610698365,2.7259733598475004,2.709717273712158,2.7247085571289062,2.7396998405456543,2.7546911239624023,2.7696824073791504,2.709717273712158,0.01625608613534224,0.01625608613534224
3,NH0998,O,0.0014858841010401188,0.03714710252600297,2.7947683712120837,2.7995388507843018,2.798832416534424,2.798125743865967,2.7974190711975098,2.796712636947632,2.7995388507843018,-0.0047704795722181,0.0047704795722181
4,NH0999,N,0.0018573551263001485,0.036404160475482915,2.787539200757083,2.7805919647216797,2.7805919647216797,2.7805919647216797,2.7805919647216797,2.7805919647216797,2.7805919647216797,0.006947236035403481,0.006947236035403481
5,NH1000,L,0.0007429420505200594,0.05163447251114413,2.5691751628791666,2.656156301498413,2.656156301498413,2.656156301498413,2.656156301498413,2.656156301498413,2.656156301498413,-0.0869811386192465,0.0869811386192465
6,NH1001,N,0.029346210995542348,0.03677563150074294,2.9658237234845823,2.9369213581085205,2.9369213581085205,2.9369213581085205,2.9369213581085205,2.9369213581085205,2.9369213581085205,0.028902365376061834,0.028902365376061834
7,NH1001,O,0.029346210995542348,0.03714710252600297,2.9658237234845823,3.0433766841888428,3.0332674980163574,3.023158550262451,3.013049602508545,3.0029404163360596,3.0433766841888428,-0.07755296070426043,0.07755296070426043
8,NH1002,L,0.029717682020802376,0.04271916790490342,2.7739209507579163,2.757553815841675,2.757553815841675,2.757553815841675,2.757553815841675,2.757553815841675,2.757553815841675,0.016367134916241532,0.016367134916241532
9,NH1002,O,0.029717682020802376,0.041976225854383355,2.7739209507579163,2.7701542377471924,2.809925079345703,2.8496956825256348,2.8894662857055664,2.929236888885498,2.7701542377471924,0.0037667130107239544,0.0037667130107239544
10,NH1003,N,0.03194650817236255,0.03863298662704309,3.1972194621212506,3.1575140953063965,3.1575140953063965,3.1575140953063965,3.1575140953063965,3.1575140953063965,3.1575140953063965,0.03970536681485415,0.03970536681485415
11,NH1003,O,0.03194650817236255,0.03863298662704309,3.1972194621212506,3.1830480098724365,3.1393706798553467,3.095693349838257,3.052016019821167,3.008338689804077,3.1830480098724365,0.01417145224881411,0.01417145224881411
12,NH1004,N,0.030089153046062408,0.0412332838038633,3.112323340909583,3.086662769317627,3.086662769317627,3.086662769317627,3.086662769317627,3.086662769317627,3.086662769317627,0.025660571591956227,0.025660571591956227
13,NH1004,O,0.030089153046062408,0.041604754829123326,3.112323340909583,3.1353888511657715,3.135443687438965,3.1354990005493164,3.135554075241089,3.1356091499328613,3.1353888511657715,-0.023065510256188304,0.023065510256188304
14,NH1005,L,0.0274888558692422,0.03863298662704309,2.756221803030417,2.715811014175415,2.715811014175415,2.715811014175415,2.715811014175415,2.715811014175415,2.715811014175415,0.04041078885500182,0.04041078885500182
15,NH1006,M,0.02674591381872214,0.04049034175334324,3.122650814393333,3.153205394744873,3.153205394744873,3.153205394744873,3.153205394744873,3.153205394744873,3.153205394744873,-0.030554580351540128,0.030554580351540128
16,NH1007,L,0.02711738484398217,0.03714710252600297,2.9521636515150003,2.97786545753479,2.97786545753479,2.97786545753479,2.97786545753479,2.97786545753479,2.97786545753479,-0.025701806019789775,0.025701806019789775
