Tool,feature,shift_z,abs_shift_z,n,operation
J,210X1,0.32533562302151525,0.32533562302151525,142,210
J,210X2,-0.44013327035065936,0.44013327035065936,142,210
J,210X3,1.301079743206245,1.301079743206245,142,210
J,210X4,-0.8085055043593631,0.8085055043593631,142,210
J,210X5,0.6636166590329143,0.6636166590329143,142,210
J,210X6,0.594495257153558,0.594495257153558,142,210
J,210X7,-0.1289570545379796,0.1289570545379796,142,210
J,210X8,-0.14463898106454712,0.14463898106454712,142,210
J,210X9,-1.0852461385917196,1.0852461385917196,142,210
J,210X10,-0.32165795006693665,0.32165795006693665,142,210
J,210X11,1.335137203884067,1.335137203884067,142,210
J,210X12,-0.33592251189695266,0.33592251189695266,142,210
J,210X13,0.3284530889037866,0.3284530889037866,142,210
J,210X14,0.6150046484299484,0.6150046484299484,142,210
J,210X15,0.2977205271878852,0.2977205271878852,142,210
J,210X16,1.0645111707725334,1.0645111707725334,142,210
J,210X18,0.5346175421724733,0.5346175421724733,142,210
J,210X19,0.24656544210698753,0.24656544210698753,142,210
J,210X20,-0.13860728162191352,0.13860728162191352,142,210
J,210X21,0.07084380157152471,0.07084380157152471,142,210
J,210X23,0.04300196072698257,0.04300196072698257,142,210
J,210X24,0.15001296697060865,0.15001296697060865,142,210
J,210X25,0.20164260190203134,0.20164260190203134,142,210
J,210X26,0.5121872697143385,0.5121872697143385,142,210
J,210X27,-0.9318685128207392,0.9318685128207392,142,210
J,210X28,-1.1853557948425024,1.1853557948425024,142,210
J,210X29,-0.13997503131235953,0.13997503131235953,142,210
J,210X30,-0.8694441457259577,0.8694441457259577,142,210
J,210X32,1.2805752296863198,1.2805752296863198,142,210
J,210X33,0.5883422975619589,0.5883422975619589,142,210
J,210X34,1.2881802107934828,1.2881802107934828,142,210
J,210X35,0.5595755276498566,0.5595755276498566,142,210
J,210X36,0.243367411280488,0.243367411280488,142,210
J,210X39,0.17697491632438986,0.17697491632438986,142,210
J,210X40,0.25769728349787147,0.25769728349787147,142,210
J,210X41,0.5397974531137706,0.5397974531137706,142,210
