row_index,ID,Tool,missing_rate,zero_rate,y_true,anomaly_max_z,anomaly_top5_mean_z,anomaly_top10_mean_z,anomaly_count_z2,anomaly_count_z3,anomaly_count_z5,y_pred,residual,absolute_residual,squared_error
516,NH1570,N,0.0014858841010401188,0.04420505200594354,2.5346034412883336,28.2489159084026,12.833066107650074,8.102426344580458,82,10,4,2.6560933589935303,-0.12148991770519668,0.12148991770519668,0.014759800104015463
454,NH1495,N,0.0014858841010401188,0.030089153046062408,2.5458145189391668,28.24891590840258,9.993893948142853,6.918065391174366,104,16,2,2.6839089393615723,-0.1380944204224055,0.1380944204224055,0.019070068951800082
750,NH1885,O,0.02786032689450223,0.03677563150074294,3.093912742424167,28.248915908402576,11.782859372893617,7.539536484335533,335,15,3,3.057419538497925,0.036493203926242224,0.036493203926242224,0.0013317539328023009
702,NH1835,O,0.002600297176820208,0.03528974739970282,1.6142395746208331,28.24891590840257,19.205478940532974,11.066289940507161,209,5,4,2.834806442260742,-1.220566867639909,1.220566867639909,1.4897834783802992
130,NH1114,L,0.002600297176820208,0.04086181277860327,2.733161914140833,28.248915908402562,11.88527741557221,7.614099647431312,77,12,3,2.854645013809204,-0.1214830996683709,0.1214830996683709,0.014758143505035338
129,NH1113,M,0.0003714710252600297,0.04903417533432392,2.652038446969444,28.231210593321283,8.783005600086629,6.129648577502988,117,36,1,2.5604844093322754,0.0915540376371684,0.0915540376371684,0.00838214180766805
723,NH1858,J,0.0014858841010401188,0.03789004457652303,2.962446318182917,28.231210593316394,13.760377937892946,8.45420992065969,47,13,3,2.980954170227051,-0.018507852044133966,0.018507852044133966,0.00034254058728755383
695,NH1828,O,0.0018573551263001485,0.0338038632986627,2.8586238282833327,27.660742928425687,11.710976697966492,7.601849052857925,53,13,5,2.8159823417663574,0.0426414865169753,0.0426414865169753,0.0018182963723773866
678,NH1810,O,0.0007429420505200594,0.031575037147102525,3.153575530303333,27.219848132029743,19.133360362973242,11.122541165021284,46,11,5,3.022937774658203,0.1306377556451297,0.1306377556451297,0.017066223199996615
132,NH1116,L,0.0014858841010401188,0.0475482912332838,2.9667710909095826,27.147768843497463,27.126233991445776,26.98364631653788,119,35,29,2.929978609085083,0.03679248182449957,0.03679248182449957,0.001353686718806131
451,NH1492,N,0.0003714710252600297,0.03194650817236255,2.7699136931808335,26.66987854863186,13.109222991165563,8.067464901265012,140,9,3,2.8030433654785156,-0.033129672297682156,0.033129672297682156,0.0010975751865518084
52,NH1033,O,0.0003714710252600297,0.046433878157503716,2.9680374696983334,26.526282549914345,13.88862537832209,8.877877033813055,76,14,6,2.9755001068115234,-0.007462637113190063,0.007462637113190063,5.569095268316171e-05
324,NH1353,L,0.0007429420505200594,0.04903417533432392,2.6507707045455557,26.372591126034994,10.654810225893625,7.267449861143655,73,14,3,2.7076644897460938,-0.056893785200538005,0.056893785200538005,0.003236902794444957
