row_index,ID,Tool,missing_rate,zero_rate,y_true,anomaly_max_z,anomaly_top5_mean_z,anomaly_top10_mean_z,anomaly_count_z2,anomaly_count_z3,anomaly_count_z5,y_pred,residual,absolute_residual,squared_error
702,NH1835,O,0.002600297176820208,0.03528974739970282,1.6142395746208331,28.24891590840257,19.205478940532974,11.066289940507161,209,5,4,2.834806442260742,-1.220566867639909,1.220566867639909,1.4897834783802992
205,NH1204,L,0.0003714710252600297,0.04791976225854384,2.3574198009824325,5.050316321859648,4.306355876302458,4.016834542597308,121,11,1,2.8407890796661377,-0.48336927868370516,0.48336927868370516,0.23364585957520542
721,NH1856,J,0.002600297176820208,0.030832095096582468,2.6143279836063944,6.134289391105587,5.166743015551894,4.7726743166036965,73,23,2,3.043776035308838,-0.4294480517024435,0.4294480517024435,0.18442562911102459
788,NH1928,J,0.002228826151560178,0.033060921248142645,2.5245502537879165,9.363114771865293,5.786768552430397,4.967523726715605,344,47,4,2.917616844177246,-0.39306659038932956,0.39306659038932956,0.15450134448029298
585,NH1665,L,0.03863298662704309,0.048662704309063894,2.4984651515149996,11.041687179986623,9.219241948924013,7.172977062493002,70,25,8,2.869434118270874,-0.37096896675587443,0.37096896675587443,0.13761797429592107
292,NH1321,M,0.0003714710252600297,0.04234769687964339,2.472396916666667,3.500207033214266,3.1131068029310516,2.9107847237172124,37,4,0,2.7955565452575684,-0.3231596285909015,0.3231596285909015,0.10443214555100942
515,NH1569,J,0.0003714710252600297,0.041604754829123326,3.258172492424584,5.506326460857923,3.9731248417680014,3.4493144016799873,38,8,1,2.9370834827423096,0.3210890096822743,0.3210890096822743,0.10309815213874363
219,NH1231,M,0.0014858841010401188,0.046805349182763745,2.6904530774407402,19.163508231126226,18.2222846608255,17.158648101959663,263,120,73,2.9987919330596924,-0.30833885561895213,0.30833885561895213,0.09507284988440501
722,NH1857,J,0.0014858841010401188,0.0338038632986627,2.542369007576389,6.134289391105587,3.8532382003258023,3.4405314272628535,37,8,1,2.848600387573242,-0.306231379996853,0.306231379996853,0.09377765809477699
110,NH1085,L,0.0003714710252600297,0.04457652303120357,3.1800548977274996,4.055209650564142,3.821567172643004,3.559430333435904,87,11,0,2.878791332244873,0.30126356548262656,0.30126356548262656,0.09075973588730482
