row_index,ID,rank,feature,operation,original_value,training_median,robust_z,was_missing,stable_selection_score
702,NH1835,1,312X478,312,29.0,50.0,-20.0,False,0.8349254871990829
702,NH1835,2,750X1356,750,-16.8,-12.7,-4.100000000000001,False,0.9259839510890332
702,NH1835,3,360X14,360,77.6,78.0,-4.000000000000284,False,0.8133740924722965
702,NH1835,4,750X69,750,100.0,99.9,3.999999999998863,False,0.8929308368360718
702,NH1835,5,ERROR:#N/A_4,META,13331028232.0,9447472312.5,3.831731939478943,False,0.8746734080546301
702,NH1835,6,750X1364,750,2.06,1.65,3.8139534883720967,False,0.888205162213138
702,NH1835,7,210X217,210,13219893521.0,9448217850.0,3.7725421371604364,False,0.8760925892504211
702,NH1835,8,750X1105,750,9.72,9.62,2.499999999999978,False,0.8848484255423233
702,NH1835,9,750X1061,750,10.26,10.19,2.3333333333332544,False,0.8379390154353962
702,NH1835,10,210X149,210,171.6,134.9925,2.1269518483550005,False,0.8206627998341658
702,NH1835,11,750X1190,750,7.98,8.01,-2.0,False,0.9643484906381352
702,NH1835,12,344X87,344,1204.0,1202.0,2.0,False,0.9043943446694689
731,NH1866,1,750X1356,750,-16.8,-12.7,-4.100000000000001,False,0.9259839510890332
731,NH1866,2,360X14,360,77.6,78.0,-4.000000000000284,False,0.8133740924722965
731,NH1866,3,750X1364,750,2.08,1.65,4.000000000000004,False,0.888205162213138
731,NH1866,4,750X69,750,100.0,99.9,3.999999999998863,False,0.8929308368360718
731,NH1866,5,420X134,420,0.0,0.1,-3.6027397260273957,False,0.8509743981658388
731,NH1866,6,750X1105,750,9.76,9.62,3.4999999999999334,False,0.8848484255423233
731,NH1866,7,750X1061,750,10.29,10.19,3.3333333333331954,False,0.8379390154353962
731,NH1866,8,210X179,210,0.14,0.056,2.3829787234042556,False,0.8425556386239506
731,NH1866,9,210X161,210,0.139,0.056,2.305555555555556,False,0.8413965667652946
731,NH1866,10,340X15,340,249.0,235.5,2.25,False,0.8619385242558574
731,NH1866,11,750X155,750,86.46,80.63,2.2487945998071344,False,0.8745548200388721
731,NH1866,12,750X1190,750,7.98,8.01,-2.0,False,0.9643484906381352
721,NH1856,1,210X193,210,0.24,0.02,11.000000000000002,False,0.9832632785632403
721,NH1856,2,210X217,210,1961849545.0,9448217850.0,-7.488088146621251,False,0.8760925892504211
721,NH1856,3,ERROR:#N/A_4,META,2070575653.0,9447472312.5,-7.2784559126628725,False,0.8746734080546301
721,NH1856,4,210X94,210,37.9,36.9,4.999999999999929,False,0.8267423146516668
721,NH1856,5,750X1356,750,-16.8,-12.7,-4.100000000000001,False,0.9259839510890332
