row_index,ID,Tool,y_true,prediction,residual,absolute_error,missing_rate,top_abnormal_operations,top_abnormal_features
702,NH1835,O,1.6142395746208331,2.839147808707316,-1.2249082340864828,1.2249082340864828,0.0007642338555598013,"312,750,210","312X478,750X1356,360X14,750X69,ERROR:#N/A_4"
731,NH1866,N,2.380365381313055,2.805124703469573,-0.4247593221565182,0.4247593221565182,0.03171570500573175,"750,210,360","750X1356,360X14,750X1364,750X69,420X134"
721,NH1856,J,2.6143279836063944,3.032581241218201,-0.4182532576118065,0.4182532576118065,0.0019105846388995033,"210,750,META","210X193,210X217,ERROR:#N/A_4,210X94,750X1356"
762,NH1897,O,3.4524270227275,3.0513187175138112,0.4011083052136888,0.4011083052136888,0.027512418800152847,"750,210,META","750X1356,750X69,750X1364,ERROR:#N/A_4,210X217"
795,NH1938,N,2.5318498636364577,2.929922676401454,-0.3980728127649962,0.3980728127649962,0.0007642338555598013,"750,210,420","750X1356,750X69,750X1364,750X1105,360X14"
715,NH1848,O,2.5659426136366656,2.927587760374834,-0.3616451467381685,0.3616451467381685,0.0011463507833397019,"312,750,311","312X478,750X1364,750X1356,360X14,ERROR:#N/A_4"
585,NH1665,L,2.498465151515,2.858793959644355,-0.3603288081293554,0.3603288081293554,0.03935804356132977,"312,750,420","312X478,750X1364,750X1356,360X14,420X134"
764,NH1899,O,3.144453011363333,2.815378567322162,0.3290744440411708,0.3290744440411708,0.027512418800152847,"750,210,311","750X1356,750X69,750X1364,ERROR:#N/A_4,210X217"
788,NH1928,J,2.5245502537879165,2.8231742108871414,-0.2986239570992248,0.2986239570992248,0.0011463507833397019,"344,META,210","ERROR:#N/A_9,344X194,344X190,210X193,344X48"
584,NH1664,M,2.538191083333333,2.834968006143153,-0.29677692280982,0.29677692280982,0.037065341994650364,"750,210,340","750X1364,750X1356,360X14,210X149,210X34"
774,NH1914,O,2.5260578863641667,2.813080613918841,-0.2870227275546742,0.2870227275546742,0.0,"344,META,750","ERROR:#N/A_9,344X194,344X190,344X48,750X368"
744,NH1879,M,2.7095501969699995,2.994795546914695,-0.2852453499446956,0.2852453499446956,0.0,"750,210,420","750X1356,750X69,750X1364,210X149,210X34"
669,NH1801,M,2.7769959646461118,3.0597940273782616,-0.2827980627321502,0.2827980627321502,0.027894535727932747,"750,210,360","750X1356,360X14,750X1364,750X69,420X134"
714,NH1847,O,2.6349156792933326,2.9166659911055763,-0.2817503118122437,0.2817503118122437,0.00038211692777990065,"750,210,420","750X1364,750X1356,360X14,ERROR:#N/A_4,210X217"
749,NH1884,L,3.180182585858889,2.9157772342250032,0.2644053516338855,0.2644053516338855,0.028276652655712647,"750,420,340","420X228,750X1356,750X69,750X1364,420X134"
748,NH1883,O,3.145264628787778,2.882390704810216,0.2628739239775619,0.2628739239775619,0.028276652655712647,"344,750,210","344X159,344X158,750X1356,750X69,ERROR:#N/A_4"
797,NH1940,N,2.7288744848485424,2.98140015377548,-0.2525256689269377,0.2525256689269377,0.0007642338555598013,"750,420,210","750X1356,360X14,750X69,750X1364,750X1105"
761,NH1896,L,3.098168814394583,2.8465566809150125,0.2516121334795707,0.2516121334795707,0.02904088651127245,"750,210,311","750X1356,750X69,750X1364,520X432,210X154"
766,NH1901,O,3.157630246211667,2.908736508414885,0.2488937377967817,0.2488937377967817,0.02865876958349255,"750,210,311","750X1356,750X69,750X1364,ERROR:#N/A_4,210X217"
722,NH1857,J,2.542369007576389,2.789620068792799,-0.2472510612164096,0.2472510612164096,0.00038211692777990065,"210,750,META","210X193,210X217,ERROR:#N/A_4,210X94,750X1356"
