feature,operation,ks_distance,median_shift_iqr,development_missing,tail_missing
220X33,220,1.0,1.3364485981308412,0.0,0.0
750X611,750,0.9467741935483871,1.5342465753424661,0.0,0.0
750X185,750,0.885483870967742,2.0,0.0,0.0
360X47,360,0.8719354838709678,0.4285714285714285,0.0,0.0
750X776,750,0.8483870967741935,1.4275466284074612,0.0,0.0
750X91,750,0.8080645161290323,1.1111111111111107,0.0,0.0
750X582,750,0.8080645161290323,1.7146464646464643,0.0,0.0
750X541,750,0.8032258064516129,1.4999999999999645,0.0,0.0
750X228,750,0.7487096774193548,0.3213296398891958,0.0,0.0
750X1212,750,0.7483870967741936,1.0142857142857142,0.0,0.0
750X69,750,0.7419354838709677,1.0,0.0,0.0
750X1356,750,0.7419354838709677,1.0250000000000004,0.0,0.0
750X1190,750,0.7419354838709677,1.0,0.0,0.0
750X1006,750,0.7370967741935484,0.9999999999999899,0.0,0.0
520X353,520,0.7370967741935484,1.048490514743424,0.0,0.0
520X246,520,0.7370967741935484,1.0484930870992342,0.0,0.0
520X144,520,0.7370967741935484,1.048491800887215,0.0,0.0
520X351,520,0.7370759289176091,1.0481833485770338,0.001612903225806428,0.0
520X345,520,0.7345506763923565,1.0481379840644844,0.001612903225806428,0.010000000000000009
520X1,520,0.7324960542664294,1.0170762406693186,0.009677419354838679,0.030000000000000027
750X25,750,0.717741935483871,0.9857142857142897,0.0,0.0
750X785,750,0.7161290322580646,1.0,0.0,0.0
750X1391,750,0.7112903225806452,1.0000000000000355,0.0,0.0
750X1116,750,0.7080645161290322,1.0,0.0,0.0
750X47,750,0.6883870967741935,0.888888888888889,0.0,0.0
750X1083,750,0.6435483870967742,2.666666666666726,0.0,0.0
750X1105,750,0.6419354838709678,2.249999999999989,0.0,0.0
750X765,750,0.632258064516129,0.6840471756672869,0.0,0.0
750X1,750,0.5987096774193549,0.3333333333333338,0.0,0.0
360X1305,360,0.5480645161290323,0.0695970695970694,0.0,0.0
360X3,360,0.5374193548387097,1.3333333333333337,0.0,0.0
330X581,330,0.5135483870967742,0.3622974963181165,0.0,0.0
330X266,330,0.5048387096774194,0.18853801169590648,0.0,0.0
210X16,210,0.4974193548387097,1.0,0.0,0.0
750X1061,750,0.4935483870967742,1.9999999999999407,0.0,0.0
330X105,330,0.4874193548387097,0.3602409638554206,0.0,0.0
330X616,330,0.4858064516129032,0.35381861575178997,0.0,0.0
520X285,520,0.48227307015338194,1.0,0.008064516129032251,0.030000000000000027
311X25,311,0.4813008130081301,0.5497624558411499,0.008064516129032251,0.0
311X26,311,0.4813008130081301,0.547640847219679,0.008064516129032251,0.0
210X14,210,0.4770967741935484,1.0,0.0,0.0
520X68,520,0.4757211457738675,2.0,0.009677419354838679,0.030000000000000027
420X4,420,0.4712987012987013,0.20648820778186885,0.006451612903225823,0.0
210X36,210,0.4703225806451613,0.6666666666666666,0.0,0.0
