row_index,ID,actual,prediction,empirical_lower,empirical_upper,squared_error,fraction_total_squared_error
702,NH1835,1.6142395746208331,2.85516619682312,2.6100749053555434,3.100257488290697,1.5398988816903776,0.36106385178985256
795,NH1938,2.5318498636364577,2.97377880414327,2.7286875126756933,3.2188700956108467,0.19530118845747366,0.045792746655016925
762,NH1897,3.4524270227275,3.017362197240194,2.772270905772617,3.2624534887077705,0.18928140237630017,0.044381272710030666
721,NH1856,2.6143279836063944,3.037702878316244,2.792611586848667,3.2827941697838203,0.1792463014705763,0.042028318091255235
788,NH1928,2.5245502537879165,2.8803253968556723,2.635234105388096,3.125416688323249,0.12657595242488212,0.02967857271013086
764,NH1899,3.144453011363333,2.7900870641072597,2.5449957726396826,3.035178355574836,0.12557522457469403,0.029443929606951476
744,NH1879,2.7095501969699995,3.0490721066792807,2.803980815211704,3.294163398146857,0.1152751271726373,0.02702884061246189
774,NH1914,2.5260578863641667,2.8232553005218506,2.578164009054274,3.0683465919894277,0.08832630298201387,0.02071008398553781
722,NH1857,2.542369007576389,2.837099313735962,2.592008022268385,3.0821906052035386,0.08686595336891548,0.020367672245043315
749,NH1884,3.180182585858889,2.90907088915507,2.663979597687493,3.1541621806226465,0.07350155208962351,0.017234088436300334
766,NH1901,3.157630246211667,2.894303798675537,2.6492125072079604,3.139395090143114,0.06934081797199829,0.016258510945696455
748,NH1883,3.145264628787778,2.895874500274658,2.650783208807081,3.140965791742235,0.06219543619979036,0.014583115829914343
797,NH1940,2.7288744848485424,2.976042111714681,2.7309508202471044,3.221133403182258,0.061091835770638765,0.014324351941892683
786,NH1926,3.3058413598475007,3.0661140282948813,2.8210227368273046,3.311205319762458,0.0574691934933395,0.01347494215930838
785,NH1925,3.265213636364166,3.029669920603434,2.7845786291358574,3.274761212071011,0.05548084203437244,0.013008728536438191
725,NH1860,3.2950815606061115,3.062613328297933,2.8175220368303564,3.30770461976551,0.05404147903248919,0.012671237577932343
651,NH1781,3.201655295454167,2.970527728398641,2.7254364369310644,3.215619019866218,0.05341995225300664,0.012525506675949889
778,NH1918,3.1180686818183343,2.8879548708597818,2.642863579392205,3.1330461623273584,0.052952365993868454,0.012415870583751994
