row_index,ID,actual,prediction,empirical_lower,empirical_upper,residual,squared_error,fraction_total_squared_error
702,NH1835,1.6142395746208331,2.8361098766326904,2.5790699975531277,3.0931497557122536,-1.2218703020118573,1.4929670349385473,0.3361957616427834
762,NH1897,3.4524270227275,2.9682869911193848,2.7112471120398216,3.225326870198948,0.48414003160811525,0.23439157020550683,0.05278177657226832
795,NH1938,2.5318498636364577,2.9672210216522217,2.7101811425726585,3.224260900731785,-0.435371158015764,0.18954804523198732,0.042683627932408943
721,NH1856,2.6143279836063944,3.033207734425863,2.7761678553463,3.290247613505426,-0.4188797508194684,0.17546024564657992,0.039511248100404225
764,NH1899,3.144453011363333,2.7706758975982666,2.5136360185187034,3.0277157766778298,0.3737771137650663,0.1397093307745433,0.03146063092430201
749,NH1884,3.180182585858889,2.854050636291504,2.5970107572119407,3.111090515371067,0.3261319495673849,0.10636204852862328,0.023951278948660153
788,NH1928,2.5245502537879165,2.841772476832072,2.5847325977525086,3.098812355911635,-0.31722222304415526,0.10062993879307579,0.02266048621629301
722,NH1857,2.542369007576389,2.8393216927846274,2.5822818137050643,3.0963615718641906,-0.29695268520823825,0.08818089725238304,0.019857132287806487
766,NH1901,3.157630246211667,2.872124512990316,2.6150846339107527,3.129164392069879,0.2855057332213513,0.08151352370226142,0.01835573093306569
744,NH1879,2.7095501969699995,2.9750470320383706,2.7180071529588075,3.232086911117934,-0.2654968350683711,0.07048856943132183,0.015873061984954615
748,NH1883,3.145264628787778,2.8837035497029624,2.6266636706233992,3.140743428782525,0.2615610790848155,0.06841419809201311,0.01540594192400996
747,NH1882,3.1094892235862157,2.8500847816467285,2.5930449025671654,3.107124660726292,0.2594044419394872,0.06729066449793679,0.01515293752166742
651,NH1781,3.201655295454167,2.9428024291992188,2.685762550119656,3.199842308278782,0.2588528662549483,0.06700480636840216,0.015088566179680867
776,NH1915,2.79499519318125,2.5400198300679526,2.282979950988389,2.797059709147516,0.25497536311329716,0.06501243579475774,0.01463991156989665
767,NH1902,3.051669253787917,2.8005003929138184,2.543460513834255,3.057540271993381,0.2511688608740985,0.06308579667279225,0.01420605878422772
653,NH1783,3.2464855959600003,2.9984781742095947,2.741438295130032,3.255518053289158,0.24800742175040558,0.06150768124328355,0.013850688768435144
761,NH1896,3.098168814394583,2.852617104848226,2.595577225768663,3.109656983927789,0.24555170954635708,0.06029564206113851,0.013577754117872735
778,NH1918,3.1180686818183343,2.8816802501678467,2.6246403710882835,3.13872012924741,0.23638843165048762,0.055879490618177256,0.01258329719876377
750,NH1885,3.093912742424167,2.8597232500712075,2.6026833709916444,3.1167631291507707,0.2341894923529595,0.05484471832853687,0.012350280628470364
774,NH1914,2.5260578863641667,2.759820858637492,2.502780979557929,3.016860737717055,-0.23376297227332543,0.05464512720605951,0.01230533543686995
725,NH1860,3.2950815606061115,3.06168794631958,2.804648067240017,3.3187278253991432,0.23339361428653138,0.05447257918973018,0.012266479982990368
797,NH1940,2.7288744848485424,2.962101697921753,2.7050618188421898,3.219141577001316,-0.23322721307321048,0.054394932917896724,0.012248995104297888
775,NH1915,2.79499519318125,2.5763352711995444,2.3192953921199813,2.833375150279108,0.21865992198170536,0.04781216148104547,0.010766644988627946
786,NH1926,3.3058413598475007,3.08724840482076,2.830208525741197,3.3442882839003234,0.21859295502674092,0.04778287998732278,0.010760051196632703
678,NH1810,3.153575530303333,2.9404624303181968,2.6834225512386336,3.19750230939776,0.21311309998513606,0.0454171933852746,0.010227330921923856
727,NH1862,3.2410290732322222,3.030097166697184,2.773057287617621,3.2871370457767477,0.21093190653503813,0.04449226919450606,0.010019050641448632
729,NH1864,2.9720060656563896,2.762110630671183,2.50507075159162,3.0191505097507463,0.20989543498520646,0.04405609362762904,0.009920829867992486
785,NH1925,3.265213636364166,3.056592464447021,2.7995525853674583,3.3136323435265846,0.2086211719171449,0.04352279337208293,0.009800737942717663
746,NH1881,3.0694516515147225,2.8670549392700195,2.6100150601904564,3.1240948183495827,0.20239671224470301,0.04096442912746512,0.009224629297549651
768,NH1903,3.0322009696975005,2.838338613510132,2.5812987344305687,3.095378492589695,0.1938623561873687,0.03758261314651821,0.008463090581125828
787,NH1927,2.8397461098491656,2.645967721939087,2.388927842859524,2.90300760101865,0.19377838791007873,0.037550063621028945,0.00845576087306337
681,NH1814,3.083927734847778,2.8912429809570312,2.634203101877468,3.1482828600365944,0.19268475389074657,0.037127414381937576,0.008360586043667411
