ID,Tool,row_index,fold,y_true,y_pred,residual,absolute_residual,rank,feature,value,z_score,abs_z_score,operation
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,1,310X138,5.0,28.24891590840257,28.24891590840257,310
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,2,310X140,6.0,28.24891590840257,28.24891590840257,310
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,3,310X139,6.0,28.24891590840256,28.24891590840256,310
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,4,340X21,3000.0,-8.10016162931658,8.10016162931658,340
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,5,312X97,10.0,3.1804853481405946,3.1804853481405946,312
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,6,312X245,19.4,2.9944771803329475,2.9944771803329475,312
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,7,312X764,105.6,-2.978536642340098,2.978536642340098,312
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,8,312X758,105.3,-2.8903966517006467,2.8903966517006467,312
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,9,220X204,-0.00617,-2.8895651034001717,2.8895651034001717,220
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,10,312X770,104.9,-2.8825291246328617,2.8825291246328617,312
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,11,440AX60,585.5,2.742862971936992,2.742862971936992,UNKNOWN
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,12,440AX58,589.8,2.727728544700891,2.727728544700891,UNKNOWN
NH1835,O,702,5,1.6142395746208331,2.834806442260742,-1.220566867639909,1.220566867639909,13,440AX212,1.0,-2.714676227164281,2.714676227164281,UNKNOWN
